transaction_id,date,customer_id,customer_name,product_id,product_name,category,price,merchant_id,merchant_name,distributor_id,distributor_name,commission_percentage
T0001,2025-01-30,C097,Customer_100,P021,Product_38,Furniture,133.45,M017,Merchant_27,D06,Distributor_3,0.01
T0002,2025-01-15,C185,Customer_187,P021,Product_49,Clothing,159.42,M028,Merchant_50,D06,Distributor_9,0.007
T0003,2025-01-13,C068,Customer_153,P040,Product_28,Furniture,83.95,M033,Merchant_1,D06,Distributor_10,0.01
T0004,2025-01-29,C066,Customer_32,P050,Product_17,Books,244.75,M003,Merchant_1,D10,Distributor_10,0.008
T0005,2025-01-27,C181,Customer_7,P032,Product_18,Groceries,101.48,M015,Merchant_41,D05,Distributor_4,0.005
T0006,2025-01-02,C167,Customer_108,P038,Product_15,Clothing,314.06,M037,Merchant_16,D06,Distributor_8,0.007
T0007,2025-01-05,C139,Customer_196,P024,Product_39,Groceries,24.14,M044,Merchant_2,D07,Distributor_8,0.005
T0008,2025-01-05,C178,Customer_163,P032,Product_49,Electronics,361.85,M009,Merchant_44,D10,Distributor_5,0.01
T0009,2025-01-20,C068,Customer_119,P009,Product_17,Furniture,94.17,M032,Merchant_19,D06,Distributor_10,0.01
T0010,2025-01-31,C053,Customer_24,P035,Product_8,Electronics,339.39,M003,Merchant_15,D05,Distributor_4,0.01
T0011,2025-01-08,C065,Customer_28,P005,Product_27,Clothing,398.03,M043,Merchant_42,D04,Distributor_10,0.007
T0012,2025-01-16,C190,Customer_153,P038,Product_18,Books,178.33,M008,Merchant_3,D03,Distributor_2,0.008
T0013,2025-01-25,C023,Customer_139,P041,Product_7,Electronics,395.96,M011,Merchant_1,D09,Distributor_3,0.01
T0014,2025-01-31,C023,Customer_46,P046,Product_44,Electronics,479.77,M044,Merchant_48,D01,Distributor_9,0.01
T0015,2025-01-31,C008,Customer_10,P039,Product_33,Books,309.74,M024,Merchant_41,D08,Distributor_8,0.008
T0016,2025-01-18,C045,Customer_98,P022,Product_25,Groceries,445.54,M035,Merchant_46,D01,Distributor_4,0.005
T0017,2025-01-22,C154,Customer_162,P050,Product_33,Clothing,476.9,M008,Merchant_20,D10,Distributor_9,0.007
T0018,2025-01-04,C063,Customer_197,P040,Product_26,Clothing,107.8,M002,Merchant_42,D08,Distributor_8,0.007
T0019,2025-01-30,C007,Customer_35,P043,Product_16,Groceries,276.58,M011,Merchant_9,D03,Distributor_6,0.005
T0020,2025-01-15,C179,Customer_40,P039,Product_30,Clothing,162.83,M047,Merchant_36,D04,Distributor_9,0.007
T0021,2025-01-10,C003,Customer_59,P023,Product_48,Groceries,27.9,M027,Merchant_21,D10,Distributor_4,0.005
T0022,2025-01-27,C139,Customer_111,P042,Product_3,Electronics,193.5,M010,Merchant_34,D06,Distributor_2,0.01
T0023,2025-01-09,C055,Customer_127,P047,Product_39,Books,96.05,M007,Merchant_27,D06,Distributor_1,0.008
T0024,2025-01-02,C081,Customer_125,P004,Product_30,Furniture,99.65,M014,Merchant_43,D03,Distributor_1,0.01
T0025,2025-01-26,C132,Customer_189,P019,Product_23,Groceries,421.54,M005,Merchant_13,D05,Distributor_2,0.005
T0026,2025-01-14,C096,Customer_3,P023,Product_6,Electronics,18.81,M031,Merchant_9,D08,Distributor_6,0.01
T0027,2025-01-08,C129,Customer_68,P002,Product_42,Electronics,93.69,M003,Merchant_42,D03,Distributor_8,0.01
T0028,2025-01-04,C095,Customer_37,P018,Product_40,Clothing,88.38,M001,Merchant_3,D03,Distributor_3,0.007
T0029,2025-01-13,C175,Customer_36,P020,Product_4,Books,246.37,M032,Merchant_36,D07,Distributor_1,0.008
T0030,2025-01-03,C008,Customer_37,P005,Product_25,Electronics,51.26,M007,Merchant_24,D04,Distributor_3,0.01
T0031,2025-01-14,C194,Customer_189,P011,Product_37,Electronics,289.85,M045,Merchant_13,D03,Distributor_3,0.01
